Benchmark,RollingPeriods,Average12MExcess,Median12MExcess,Worst12MExcess,Worst12MExcessMonth,Best12MExcess,Best12MExcessMonth,Latest12MExcess,HitRate12M,StartWindow
SPY,59,-0.021730425629749313,-0.02725094738151901,-0.1921744899128659,2023-12-31,0.27176730551318484,2026-02-28,0.08619860788608746,0.3898305084745763,2020-01-01
QQQ,59,-0.04982757538847337,-0.05475371141358876,-0.4789722034045174,2023-12-31,0.28565897003796537,2022-12-31,-0.010522977372821263,0.3220338983050847,2020-01-01
VTI,59,-0.011588078435701822,-0.024848357521576103,-0.19088615186417002,2023-12-31,0.2693555637890914,2026-02-28,0.07746962731407314,0.423728813559322,2020-01-01
SPY,47,-0.015583815558087298,-0.028191774532399183,-0.1921655653078056,2023-12-31,0.27176703465303964,2026-02-28,0.0861985204967659,0.3617021276595745,2021-01-01
QQQ,47,-0.06219744527758476,-0.05521523245893234,-0.4789632787994571,2023-12-31,0.32762706771562633,2022-12-31,-0.01052306476214282,0.2765957446808511,2021-01-01
VTI,47,-0.009225700102235614,-0.02611847532929068,-0.19087722725910972,2023-12-31,0.2693552929289462,2026-02-28,0.07746953992475158,0.40425531914893614,2021-01-01
SPY,35,-0.03181632882659472,-0.059547602778960096,-0.19410844767326574,2023-12-31,0.27183340745393947,2026-02-28,0.08620798524332018,0.2857142857142857,2022-01-01
QQQ,35,-0.10152775760940719,-0.08051451949237798,-0.48090616116491725,2023-12-31,0.23879292604395164,2026-02-28,-0.010513600015588542,0.17142857142857143,2022-01-01
VTI,35,-0.027295352903609446,-0.05053413782920391,-0.19282010962456986,2023-12-31,0.26942166572984605,2026-02-28,0.07747900467130586,0.34285714285714286,2022-01-01
SPY,23,0.013484756891086178,-0.02103912771701033,-0.2044911731267185,2024-10-31,0.29939337260012655,2026-02-28,0.13998151976304518,0.43478260869565216,2023-01-01
QQQ,23,-0.026504226194490728,-0.047634115320911,-0.21483063207998998,2024-10-31,0.2663528911901387,2026-02-28,0.043259934504136455,0.34782608695652173,2023-01-01
VTI,23,0.01565436025566333,-0.01538274594577338,-0.20510947762853138,2024-10-31,0.29698163087603313,2026-02-28,0.13125253919103086,0.43478260869565216,2023-01-01
